"Name","Latitude","Longitude","TimeStamp","RouteID","IsDelayed","IsOnRoute","timestampFromSampling","elapseTime","distance"
"Bus 320",39.67523,-75.74127,1734202301,29,FALSE,TRUE,"2024-12-14 06:51:27",65,0
"Bus 320",39.67515,-75.7413,1734202396,29,FALSE,TRUE,"2024-12-14 06:53:00",20,0
"Bus 320",39.67513,-75.74129,1734202421,29,FALSE,TRUE,"2024-12-14 06:53:26",20,0
"Bus 320",39.67514,-75.74131,1734202446,29,FALSE,TRUE,"2024-12-14 06:53:52",30,0
"Bus 320",39.67513,-75.74133,1734202481,29,FALSE,TRUE,"2024-12-14 06:54:28",76,0
"Bus 320",39.67515,-75.74131,1734202562,29,FALSE,TRUE,"2024-12-14 06:55:46",20,0
"Bus 320",39.67517,-75.74128,1734202587,29,FALSE,TRUE,"2024-12-14 06:56:12",70,0
"Bus 320",39.67519,-75.74127,1734202662,29,FALSE,TRUE,"2024-12-14 06:57:30",20,0
"Bus 320",39.67521,-75.74127,1734202692,29,FALSE,TRUE,"2024-12-14 06:57:56",50,0
"Bus 320",39.67522,-75.74125,1734202747,29,FALSE,TRUE,"2024-12-14 06:58:53",10,0
"Bus 320",39.6752,-75.74124,1734202762,29,FALSE,TRUE,"2024-12-14 06:59:08",10,0
"Bus 320",39.67521,-75.74122,1734202777,29,FALSE,TRUE,"2024-12-14 06:59:24",15,0
"Bus 320",39.67521,-75.74124,1734202812,29,FALSE,TRUE,"2024-12-14 06:59:55",15,0
"Bus 320",39.67518,-75.74128,1734202843,29,FALSE,TRUE,"2024-12-14 07:00:26",40,0
"Bus 320",39.67516,-75.74132,1734202898,29,FALSE,TRUE,"2024-12-14 07:01:22",35,0
"Bus 320",39.67515,-75.7413,1734202948,29,FALSE,TRUE,"2024-12-14 07:02:14",20,0
"Bus 320",39.67516,-75.74128,1734202973,29,FALSE,TRUE,"2024-12-14 07:02:40",30,0
"Bus 320",39.67519,-75.74127,1734203013,29,FALSE,TRUE,"2024-12-14 07:03:16",25,0
"Bus 320",39.67517,-75.74127,1734203043,29,FALSE,TRUE,"2024-12-14 07:03:47",40,0
"Bus 320",39.67513,-75.74129,1734203098,29,FALSE,TRUE,"2024-12-14 07:04:44",61,0
"Bus 325",39.67492,-75.74129,1734203128,28,FALSE,TRUE,"2024-12-14 07:05:14",80,0
"Bus 320",39.67515,-75.7413,1734203164,29,FALSE,TRUE,"2024-12-14 07:05:50",45,0
"Bus 325",39.67494,-75.74128,1734203213,28,FALSE,TRUE,"2024-12-14 07:06:37",15,0
"Bus 320",39.67514,-75.74132,1734203214,29,FALSE,TRUE,"2024-12-14 07:06:42",11,0
"Bus 320",39.67515,-75.7413,1734203230,29,FALSE,TRUE,"2024-12-14 07:06:57",40,0
"Bus 320",39.67515,-75.74132,1734203285,29,FALSE,TRUE,"2024-12-14 07:07:49",15,0
"Bus 320",39.67514,-75.74134,1734203305,29,FALSE,TRUE,"2024-12-14 07:08:10",36,0
